ds,y
2024-04-11 11:08:29.194799,0
2024-04-11 11:12:39.194799,3
2024-04-11 11:16:49.194799,1
2024-04-11 11:20:59.194799,9
2024-04-11 11:25:09.194799,53
2024-04-11 11:29:19.194799,193
2024-04-11 11:33:29.194799,203
2024-04-11 11:37:39.194799,203
2024-04-11 11:41:49.194799,195
2024-04-11 11:45:59.194799,205
2024-04-11 11:50:09.194799,194
2024-04-11 11:54:19.194799,212
2024-04-11 11:58:29.194799,203
2024-04-11 12:02:39.194799,200
2024-04-11 12:06:49.194799,198
2024-04-11 12:10:59.194799,199
2024-04-11 12:15:09.194799,192
2024-04-11 12:19:19.194799,202
2024-04-11 12:23:29.194799,196
2024-04-11 12:27:39.194799,197
2024-04-11 12:31:49.194799,201
2024-04-11 12:35:59.194799,215
2024-04-11 12:40:09.194799,201
2024-04-11 12:44:19.194799,195
2024-04-11 12:48:29.194799,201
2024-04-11 12:52:39.194799,200
2024-04-11 12:56:49.194799,198
2024-04-11 13:00:59.194799,194
2024-04-11 13:05:09.194799,212
2024-04-11 13:09:19.194799,200
2024-04-11 13:13:29.194799,193
2024-04-11 13:17:39.194799,217
2024-04-11 13:21:49.194799,192
2024-04-11 13:25:59.194799,201
2024-04-11 13:30:09.194799,196
2024-04-11 13:34:19.194799,195
2024-04-11 13:38:29.194799,200
2024-04-11 13:42:39.194799,203
2024-04-11 13:46:49.194799,196
2024-04-11 13:50:59.194799,195
2024-04-11 13:55:09.194799,195
2024-04-11 13:59:19.194799,217
2024-04-11 14:03:29.194799,199
2024-04-11 14:07:39.194799,203
2024-04-11 14:11:49.194799,204
2024-04-11 14:15:59.194799,191
2024-04-11 14:20:09.194799,205
2024-04-11 14:24:19.194799,191
2024-04-11 14:28:29.194799,200
2024-04-11 14:32:39.194799,193
2024-04-11 14:36:49.194799,209
2024-04-11 14:40:59.194799,201
2024-04-11 14:45:09.194799,201
2024-04-11 14:49:19.194799,191
2024-04-11 14:53:29.194799,195
2024-04-11 14:57:39.194799,185
2024-04-11 15:01:49.194799,198
2024-04-11 15:05:59.194799,185
2024-04-11 15:10:09.194799,196
2024-04-11 15:14:19.194799,185
2024-04-11 15:18:29.194799,199
2024-04-11 15:22:39.194799,141
2024-04-11 15:26:49.194799,181
2024-04-11 15:30:59.194799,189
2024-04-11 15:35:09.194799,163
2024-04-11 15:39:19.194799,173
2024-04-11 15:43:29.194799,191
2024-04-11 15:47:39.194799,186
2024-04-11 15:51:49.194799,171
2024-04-11 15:55:59.194799,187
2024-04-11 16:00:09.194799,202
2024-04-11 16:04:19.194799,201
2024-04-11 16:08:29.194799,189
2024-04-11 16:12:39.194799,216
2024-04-11 16:16:49.194799,213
2024-04-11 16:20:59.194799,212
2024-04-11 16:25:09.194799,181
2024-04-11 16:29:19.194799,202
2024-04-11 16:33:29.194799,182
2024-04-11 16:37:39.194799,188
2024-04-11 16:41:49.194799,210
2024-04-11 16:45:59.194799,207
2024-04-11 16:50:09.194799,174
2024-04-11 16:54:19.194799,174
2024-04-11 16:58:29.194799,194
2024-04-11 17:02:39.194799,176
2024-04-11 17:06:49.194799,164
2024-04-11 17:10:59.194799,178
2024-04-11 17:15:09.194799,177
2024-04-11 17:19:19.194799,194
2024-04-11 17:23:29.194799,198
2024-04-11 17:27:39.194799,189
2024-04-11 17:31:49.194799,192
2024-04-11 17:35:59.194799,157
2024-04-11 17:40:09.194799,191
2024-04-11 17:44:19.194799,191
2024-04-11 17:48:29.194799,192
2024-04-11 17:52:39.194799,185
2024-04-11 17:56:49.194799,180
2024-04-11 18:00:59.194799,180
2024-04-11 18:05:09.194799,202
2024-04-11 18:09:19.194799,197
2024-04-11 18:13:29.194799,200
2024-04-11 18:17:39.194799,215
2024-04-11 18:21:49.194799,231
2024-04-11 18:25:59.194799,196
2024-04-11 18:30:09.194799,217
2024-04-11 18:34:19.194799,198
2024-04-11 18:38:29.194799,176
2024-04-11 18:42:39.194799,192
2024-04-11 18:46:49.194799,205
2024-04-11 18:50:59.194799,178
2024-04-11 18:55:09.194799,165
2024-04-11 18:59:19.194799,165
2024-04-11 19:03:29.194799,155
2024-04-11 19:07:39.194799,182
2024-04-11 19:11:49.194799,198
2024-04-11 19:15:59.194799,183
2024-04-11 19:20:09.194799,177
2024-04-11 19:24:19.194799,204
2024-04-11 19:28:29.194799,180
2024-04-11 19:32:39.194799,162
2024-04-11 19:36:49.194799,204
2024-04-11 19:40:59.194799,151
2024-04-11 19:45:09.194799,177
2024-04-11 19:49:19.194799,161
2024-04-11 19:53:29.194799,163
2024-04-11 19:57:39.194799,167
2024-04-11 20:01:49.194799,175
2024-04-11 20:05:59.194799,167
2024-04-11 20:10:09.194799,190
2024-04-11 20:14:19.194799,164
2024-04-11 20:18:29.194799,183
2024-04-11 20:22:39.194799,175
2024-04-11 20:26:49.194799,172
2024-04-11 20:30:59.194799,177
2024-04-11 20:35:09.194799,174
2024-04-11 20:39:19.194799,157
2024-04-11 20:43:29.194799,167
2024-04-11 20:47:39.194799,211
2024-04-11 20:51:49.194799,165
2024-04-11 20:55:59.194799,177
2024-04-11 21:00:09.194799,166
2024-04-11 21:04:19.194799,148
2024-04-11 21:08:29.194799,167
2024-04-11 21:12:39.194799,188
2024-04-11 21:16:49.194799,184
2024-04-11 21:20:59.194799,174
2024-04-11 21:25:09.194799,177
2024-04-11 21:29:19.194799,191
2024-04-11 21:33:29.194799,159
2024-04-11 21:37:39.194799,158
