ds,y
2024-04-11 11:08:20.756390,0
2024-04-11 11:12:30.756390,3
2024-04-11 11:16:40.756390,1
2024-04-11 11:20:50.756390,7
2024-04-11 11:25:00.756390,83
2024-04-11 11:29:10.756390,190
2024-04-11 11:33:20.756390,213
2024-04-11 11:37:30.756390,207
2024-04-11 11:41:40.756390,197
2024-04-11 11:45:50.756390,223
2024-04-11 11:50:00.756390,203
2024-04-11 11:54:10.756390,207
2024-04-11 11:58:20.756390,202
2024-04-11 12:02:30.756390,207
2024-04-11 12:06:40.756390,203
2024-04-11 12:10:50.756390,208
2024-04-11 12:15:00.756390,195
2024-04-11 12:19:10.756390,205
2024-04-11 12:23:20.756390,204
2024-04-11 12:27:30.756390,206
2024-04-11 12:31:40.756390,200
2024-04-11 12:35:50.756390,224
2024-04-11 12:40:00.756390,200
2024-04-11 12:44:10.756390,206
2024-04-11 12:48:20.756390,199
2024-04-11 12:52:30.756390,207
2024-04-11 12:56:40.756390,209
2024-04-11 13:00:50.756390,202
2024-04-11 13:05:00.756390,205
2024-04-11 13:09:10.756390,201
2024-04-11 13:13:20.756390,207
2024-04-11 13:17:30.756390,214
2024-04-11 13:21:40.756390,212
2024-04-11 13:25:50.756390,207
2024-04-11 13:30:00.756390,208
2024-04-11 13:34:10.756390,198
2024-04-11 13:38:20.756390,207
2024-04-11 13:42:30.756390,204
2024-04-11 13:46:40.756390,202
2024-04-11 13:50:50.756390,205
2024-04-11 13:55:00.756390,206
2024-04-11 13:59:10.756390,216
2024-04-11 14:03:20.756390,205
2024-04-11 14:07:30.756390,202
2024-04-11 14:11:40.756390,208
2024-04-11 14:15:50.756390,206
2024-04-11 14:20:00.756390,198
2024-04-11 14:24:10.756390,207
2024-04-11 14:28:20.756390,200
2024-04-11 14:32:30.756390,208
2024-04-11 14:36:40.756390,198
2024-04-11 14:40:50.756390,224
2024-04-11 14:45:00.756390,199
2024-04-11 14:49:10.756390,209
2024-04-11 14:53:20.756390,195
2024-04-11 14:57:30.756390,201
2024-04-11 15:01:40.756390,194
2024-04-11 15:05:50.756390,201
2024-04-11 15:10:00.756390,195
2024-04-11 15:14:10.756390,202
2024-04-11 15:18:20.756390,187
2024-04-11 15:22:30.756390,185
2024-04-11 15:26:40.756390,175
2024-04-11 15:30:50.756390,193
2024-04-11 15:35:00.756390,189
2024-04-11 15:39:10.756390,203
2024-04-11 15:43:20.756390,196
2024-04-11 15:47:30.756390,188
2024-04-11 15:51:40.756390,186
2024-04-11 15:55:50.756390,195
2024-04-11 16:00:00.756390,202
2024-04-11 16:04:10.756390,216
2024-04-11 16:08:20.756390,200
2024-04-11 16:12:30.756390,207
2024-04-11 16:16:40.756390,215
2024-04-11 16:20:50.756390,203
2024-04-11 16:25:00.756390,206
2024-04-11 16:29:10.756390,204
2024-04-11 16:33:20.756390,196
2024-04-11 16:37:30.756390,188
2024-04-11 16:41:40.756390,200
2024-04-11 16:45:50.756390,198
2024-04-11 16:50:00.756390,200
2024-04-11 16:54:10.756390,192
2024-04-11 16:58:20.756390,193
2024-04-11 17:02:30.756390,190
2024-04-11 17:06:40.756390,180
2024-04-11 17:10:50.756390,181
2024-04-11 17:15:00.756390,190
2024-04-11 17:19:10.756390,190
2024-04-11 17:23:20.756390,204
2024-04-11 17:27:30.756390,187
2024-04-11 17:31:40.756390,192
2024-04-11 17:35:50.756390,196
2024-04-11 17:40:00.756390,188
2024-04-11 17:44:10.756390,192
2024-04-11 17:48:20.756390,204
2024-04-11 17:52:30.756390,190
2024-04-11 17:56:40.756390,192
2024-04-11 18:00:50.756390,192
2024-04-11 18:05:00.756390,244
2024-04-11 18:09:10.756390,199
2024-04-11 18:13:20.756390,224
2024-04-11 18:17:30.756390,195
2024-04-11 18:21:40.756390,175
2024-04-11 18:25:50.756390,221
2024-04-11 18:30:00.756390,206
2024-04-11 18:34:10.756390,203
2024-04-11 18:38:20.756390,201
2024-04-11 18:42:30.756390,191
2024-04-11 18:46:40.756390,190
2024-04-11 18:50:50.756390,196
2024-04-11 18:55:00.756390,241
2024-04-11 18:59:10.756390,187
2024-04-11 19:03:20.756390,199
2024-04-11 19:07:30.756390,166
2024-04-11 19:11:40.756390,152
2024-04-11 19:15:50.756390,196
2024-04-11 19:20:00.756390,202
2024-04-11 19:24:10.756390,213
2024-04-11 19:28:20.756390,196
2024-04-11 19:32:30.756390,185
2024-04-11 19:36:40.756390,183
2024-04-11 19:40:50.756390,190
2024-04-11 19:45:00.756390,185
2024-04-11 19:49:10.756390,184
2024-04-11 19:53:20.756390,184
2024-04-11 19:57:30.756390,185
2024-04-11 20:01:40.756390,191
2024-04-11 20:05:50.756390,170
2024-04-11 20:10:00.756390,176
2024-04-11 20:14:10.756390,191
2024-04-11 20:18:20.756390,182
2024-04-11 20:22:30.756390,189
2024-04-11 20:26:40.756390,189
2024-04-11 20:30:50.756390,171
2024-04-11 20:35:00.756390,192
2024-04-11 20:39:10.756390,193
2024-04-11 20:43:20.756390,188
2024-04-11 20:47:30.756390,173
2024-04-11 20:51:40.756390,211
2024-04-11 20:55:50.756390,185
2024-04-11 21:00:00.756390,184
2024-04-11 21:04:10.756390,184
2024-04-11 21:08:20.756390,162
2024-04-11 21:12:30.756390,182
2024-04-11 21:16:40.756390,192
2024-04-11 21:20:50.756390,186
2024-04-11 21:25:00.756390,189
2024-04-11 21:29:10.756390,189
2024-04-11 21:33:20.756390,193
2024-04-11 21:37:30.756390,177
2024-04-11 21:41:40.756390,157
2024-04-11 21:45:50.756390,177
2024-04-11 21:50:00.756390,181
2024-04-11 21:54:10.756390,178
2024-04-11 21:58:20.756390,181
