ds,y
2024-04-11 11:10:40.413583,0
2024-04-12 14:57:20.413583,4
2024-04-13 18:44:00.413583,18
2024-04-14 22:30:40.413583,404
2024-04-16 02:17:20.413583,404
2024-04-17 06:04:00.413583,407
2024-04-18 09:50:40.413583,404
2024-04-19 13:37:20.413583,403
2024-04-20 17:24:00.413583,401
2024-04-21 21:10:40.413583,401
2024-04-23 00:57:20.413583,400
2024-04-24 04:44:00.413583,417
2024-04-25 08:30:40.413583,400
2024-04-26 12:17:20.413583,404
2024-04-27 16:04:00.413583,401
2024-04-28 19:50:40.413583,403
2024-04-29 23:37:20.413583,415
2024-05-01 03:24:00.413583,401
2024-05-02 07:10:40.413583,403
2024-05-03 10:57:20.413583,401
2024-05-04 14:44:00.413583,399
2024-05-05 18:30:40.413583,414
2024-05-06 22:17:20.413583,405
2024-05-08 02:04:00.413583,400
2024-05-09 05:50:40.413583,403
2024-05-10 09:37:20.413583,402
2024-05-11 13:24:00.413583,420
2024-05-12 17:10:40.413583,398
2024-05-13 20:57:20.413583,394
2024-05-15 00:44:00.413583,391
2024-05-16 04:30:40.413583,389
2024-05-17 08:17:20.413583,360
2024-05-18 12:04:00.413583,379
2024-05-19 15:50:40.413583,369
2024-05-20 19:37:20.413583,379
2024-05-21 23:24:00.413583,386
2024-05-23 03:10:40.413583,404
2024-05-24 06:57:20.413583,410
2024-05-25 10:44:00.413583,406
2024-05-26 14:30:40.413583,393
2024-05-27 18:17:20.413583,379
2024-05-28 22:04:00.413583,385
2024-05-30 01:50:40.413583,398
2024-05-31 05:37:20.413583,362
2024-06-01 09:24:00.413583,369
2024-06-02 13:10:40.413583,371
2024-06-03 16:57:20.413583,394
2024-06-04 20:44:00.413583,379
2024-06-06 00:30:40.413583,378
2024-06-07 04:17:20.413583,382
2024-06-08 08:04:00.413583,375
2024-06-09 11:50:40.413583,390
2024-06-10 15:37:20.413583,430
2024-06-11 19:24:00.413583,422
2024-06-12 23:10:40.413583,395
2024-06-14 02:57:20.413583,391
2024-06-15 06:44:00.413583,380
2024-06-16 10:30:40.413583,354
2024-06-17 14:17:20.413583,405
2024-06-18 18:04:00.413583,413
2024-06-19 21:50:40.413583,327
2024-06-21 01:37:20.413583,393
2024-06-22 05:24:00.413583,340
2024-06-23 09:10:40.413583,363
2024-06-24 12:57:20.413583,345
2024-06-25 16:44:00.413583,354
2024-06-26 20:30:40.413583,356
2024-06-28 00:17:20.413583,414
2024-06-29 04:04:00.413583,376
2024-06-30 07:50:40.413583,381
2024-07-01 11:37:20.413583,362
2024-07-02 15:24:00.413583,348
2024-07-03 19:10:40.413583,360
2024-07-04 22:57:20.413583,333
2024-07-06 02:44:00.413583,366
2024-07-07 06:30:40.413583,369
2024-07-08 10:17:20.413583,369
2024-07-09 14:04:00.413583,348
2024-07-10 17:50:40.413583,361
2024-07-11 21:37:20.413583,343
2024-07-13 01:24:00.413583,363
2024-07-14 05:10:40.413583,368
