timestamp,src_mac,dst_mac,in_port
1.46905517578125,e6:3d:9d:ad:22:79,33:33:00:00:00:16,2
1.507991075515747,e6:3d:9d:ad:22:79,33:33:ff:ad:22:79,2
2.3122291564941406,e6:3d:9d:ad:22:79,33:33:00:00:00:16,2
2.5362250804901123,e6:3d:9d:ad:22:79,33:33:00:00:00:16,2
2.536555051803589,e6:3d:9d:ad:22:79,33:33:00:00:00:02,2
2.888465642929077,e6:3d:9d:ad:22:79,33:33:00:00:00:16,2
4.683340311050415,e6:3d:9d:ad:22:79,b2:ea:8c:03:c8:a8,2
6.696463584899902,e6:3d:9d:ad:22:79,33:33:00:00:00:02,2
14.632508516311646,e6:3d:9d:ad:22:79,33:33:00:00:00:02,2
